fitness,lr0,momentum,weight_decay,warmup_epochs,box,cls
0.10989,0.01,0.937,0.0005,3.0,0.2,0.5
0.118,0.00911,0.88473,0.0005,2.34777,0.2,0.48249
0.11622,0.00894,0.86071,0.0005,2.34777,0.2,0.48132
0.11628,0.00937,0.87675,0.00048,2.35988,0.2,0.47903
0.10347,0.00772,0.6555,0.00057,1.99371,0.2,0.4504
0.11025,0.00937,0.98,0.00047,2.45659,0.2,0.44728
0.09182,0.01024,0.97855,0.00051,1.94963,0.2,0.31597
0.118,0.00911,0.88473,0.0005,2.54015,0.2,0.48249
0.12254,0.00949,0.86071,0.00048,2.18848,0.16628,0.46895
0.10936,0.01001,0.93134,0.00039,2.18848,0.2,0.44664
0.1171,0.00951,0.86071,0.00049,2.19326,0.16628,0.48061
0.118,0.00859,0.85088,0.00055,2.38843,0.2,0.48249
0.11623,0.00948,0.87922,0.00047,2.13504,0.16531,0.47176
0.118,0.00774,0.86071,0.00052,2.58667,0.16306,0.53139
0.11381,0.00979,0.88004,0.00054,1.95353,0.16628,0.47328
0.11826,0.00949,0.96091,0.00045,2.20019,0.12917,0.46895
0.10924,0.00949,0.85455,0.00045,2.03988,0.19025,0.49342
0.10066,0.00967,0.98,0.00053,2.23802,0.12917,0.56331
0.0979,0.00787,0.86071,0.00038,1.84138,0.16628,0.25886
0.108,0.01216,0.82794,0.00043,2.75509,0.16628,0.57513
0.11354,0.00844,0.98,0.00048,2.18848,0.17075,0.51445
0.10647,0.00946,0.96091,0.00048,2.4108,0.11998,0.44853
0.10073,0.00852,0.98,0.00049,2.69856,0.1303,0.35848
0.10682,0.0121,0.98,0.00048,2.18848,0.15542,0.56335
0.11601,0.00949,0.86071,0.00048,2.20817,0.16644,0.47072
0.10329,0.00907,0.86071,0.00043,2.28867,0.15627,0.44737
0.10098,0.00949,0.98,0.00054,1.89775,0.09791,0.32457
0.11574,0.00995,0.78378,0.00046,2.42534,0.16633,0.46895
0.11106,0.00877,0.6909,0.00052,2.13437,0.16628,0.42705
0.11951,0.00912,0.70685,0.00053,2.20019,0.17551,0.47092
0.10479,0.00985,0.81806,0.00051,2.09001,0.16316,0.43415
0.11411,0.00964,0.7911,0.00047,2.18848,0.17408,0.48735
0.08338,0.01023,0.61256,0.0005,2.43433,0.2,0.56357
0.12024,0.0112,0.72163,0.00054,2.20019,0.1785,0.47512
0.11697,0.00744,0.72163,0.00055,2.46571,0.18799,0.51371
0.11951,0.00776,0.76279,0.00051,2.20019,0.17551,0.47092
0.12254,0.00954,0.84197,0.00047,2.13863,0.16628,0.46895
0.11881,0.00989,0.85184,0.00048,1.95423,0.1612,0.46895
0.11637,0.00863,0.84197,0.00046,2.13863,0.16943,0.46895
0.1111,0.0093,0.87349,0.00048,2.17058,0.16562,0.45621
0.11083,0.0107,0.84197,0.00053,1.95672,0.16628,0.49103
0.11339,0.00944,0.86435,0.00048,2.12067,0.165,0.48697
0.10252,0.00949,0.86071,0.00048,2.16304,0.16717,0.54345
0.11782,0.00995,0.89181,0.00048,2.12984,0.15672,0.46895
0.11491,0.00733,0.76814,0.00053,2.50825,0.17581,0.46895
0.10541,0.01185,0.72163,0.00054,2.20019,0.16078,0.36536
0.10663,0.00878,0.84197,0.00051,1.86984,0.2,0.46895
0.11439,0.00896,0.84197,0.00047,2.13863,0.14755,0.50053
0.11578,0.01029,0.88282,0.00048,2.18848,0.16628,0.45782
0.10814,0.00995,0.79653,0.00047,2.48347,0.16628,0.45441
